id,artist,summary,genre,subgenre,home,date,time,venue,bookmarked
1002,LE BIG SUR,"🔥LE BIG SUR🔥 is a band full of stories, experiences and Latin American symbols told from the sounds of Rock, Worldbeat, Ska, Cumbia and sounds of the Continental Folklore. This multicultural project reveals the freedom of the Latin American spirit, the power of the Latin party and the musical look of the traveler. The band has been on international stages such as the Empire Music Festival, the Rock al Rio Festival and the Guanajuato International Film Festival with bands like Incubus, Skrillex, Molotov, Rebel Cats, Baba Zúla and CaféTacvba.
LE BIG SUR is also a band created in parallel to the educational project LUDÓFONO, a winning proposal of the Innovative Awards of America, Mission Impact RCN, Profession Leader of El Espectador and official Speakers of TEDx Bogotá.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, Producer/Studio Engineer",Latin Rock,World,"Bogotá, COLOMBIA","Mar 14, 2019",8:00pm-8:40pm,Russian House,False
1006,Leikeli47,"Even if you've followed the meteoric rise of musician and producer Leikeli47 thus far, you're not prepared for where she's going to take you next. Her second album Acrylic is brash, bold, and as gleefully tough as the material the album takes its name from. ""We have this saying that when you smell acrylic, you know just where you are,"" she explains while discussing what the album title means to her. ""Acrylic is a hard substance and I feel this is one of my harder records to date. It speaks to how hard times don’t break you, they make you.” 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,R & B,"Brooklyn, NY","Mar 13, 2019",9:00pm-9:40pm,Banger's,False
1007,The Lemons,"The Lemons is a four-member Mongolian Indie Rock band formed in 2004 in Ulaanbaatar, Mongolia. Since 2006, they released 4 albums and well-known in Mongolia. In 2007, The Lemons received three awards at Mongolian Music Awards ceremony ""Pentatonic"" for Best alternative album, Best live concert and Best alternative song. Lead singer and rhythm guitarist Odnoo established himself as a national style icon. His sunglasses and hat became a signature for him and the band. The band secured a devout following after their impassioned set at the 2006 Playtime Festival (Mongolia's first and biggest rock fest). Their annual performances at Playtime have consistently been lauded. In 2011, The Lemons represented Mongolia at Asian Beat, one of the biggest amateur band contests held throughout many regions in Asia.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Sync/Music Supervisors",Rock,Indie Rock,"Ulaanbaatar, MONGOLIA","Mar 12, 2019",10:00pm-10:40pm,Valhalla,False
1009,LEX the Lexicon Artist,"LEX the Lexicon Artist is Taiwanese-American rapper and egomaniac Alex Sun Liu. Plagued with self-repression, neurotic ambition, and delusions of grandeur, Alex created LEX in 2016 to shield polite society from her most socially unacceptable attributes, by redirecting them onto the stage instead. 
With a comically narcissistic persona and a domineering stage presence, LEX delivers surgically precise rapid-fire raps about things she likes, things she’s done, and things everyone else is too afraid to say. LEX is ugly and real, and speaks to the minds of misfits everywhere. A larger-than-life portrait and complete self-expression of one 5’4’’ Asian nerd, LEX is the freshest new rapper on Earth - “not in spite of being a nerd, but because of it.""
LEX has performed at Emerald City Comic Con, MAGWest, PAXWest, SXSW, and Super MAGFest. She most recently toured the country with mc chris and int80 of Dual Core. 
LEX is currently based in Oakland, California. Her full-length debut album, “Raging Ego”, was released on June 6th, 2018 to critical acclaim.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - Worldwide, Booking Agent - US, Booking Agent - Worldwide, Publishing, Sync/Music Supervisors",Hip-Hop / Rap,Nerdcore,"Taipei, TAIWAN","Mar 16, 2019",8:55pm-9:20pm,Flamingo Cantina,False
1010,Leyla McCalla,"Leyla McCalla introduced herself with 2013’s Vari-Colored Songs: A Tribute to Langston Hughes. She set poems by Hughes in musical settings of her own construction on the critically acclaimed album, and her plain-spoken voice highlighted the common sense in Hughes’ works. McCalla moved to New Orleans in 2010 to busk on the streets. She also toured as part of the Carolina Chocolate Drops but left to pursue her own music and the project that threaded through it—an exploration of Haiti’s Creole culture and identity. McCalla connected with other Louisiana musicians who work with Creole traditions. That led to 2016’s A Day For The Hunter, A Day For The Prey, which reveals the art and humanity in folk songs. McCalla has kept her instrumentation spare to allow the song to shine, but her upcoming album, The Capitalist Blues, departs from that as she plays with a New Orleans-based band. The Capitalist Blues is different from McCalla’s previous albums, but she hears the connection between New Orleans and Haiti. Many of the themes are extensions of ones she examined on A Day for the Hunter, a Day for the Prey, and even though the lineups are very different, the songs come from the same place.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Folk,Caribbean,"New Orleans, LA","Mar 14, 2019",9:00pm-9:40pm,Flamingo Cantina,False
1011,LIA LIA,"LIA LIA is a Chinese - German-born pop artist, currently based in Berlin and LA. Her understated vocals paired with subdued electro fizzes will pull you immediately into her own unique bubblified universe of bittersweet youth and the agony of love. After growing up with dark fairy tales and their mysticism, LIA LIA’s first musical impact was the Chinese opera and chorale preludes, which she sang and performed throughout her childhood. She lived with her artist parents in an old factory building in a small village in 
Germany until it got torn down and a university complex in Chengdu, China. At the age of 17, she moved to Shanghai and afterward started to travel the world living in cities such as Santiago de Chile, Buenos Aires, Berlin and Los Angeles on a journey to explore the unknown. In 2017, LIA LIA made a striking debut with her first Single “Olymp” followed by “Kids” and “Yin Yang”, supported by The Independent, NME, Gorilla vs. Bear and The Line of Best Fit among many others.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Pop,Electronic,"Berlin, GERMANY","Mar 11, 2019",11:00pm-11:40pm,Elysium,False
1012,Liana Banks,"
Liana Bank$ is a boundary-pushing pop + “future R&B” artist poised to have a huge career. Armed with new fervor and a pop-trop sensibility, Liana’s sophomore project APT 210 (out thIs Spring) will cement the young talent as a vanguard of her generation. With the release of her first two singles “Ghost” and “People Like Me” ft. Ayo Jay hitting the viral charts w. nearly a million streams on Spotify to date, picked as best song of the week by High Snobiety, TIME Magazine, Nylon and more), Liana’s upcoming project is her best yet. The 5 track EP continues to celebrate Bank$’s unique, saccharine voice, and spotlights her talent for writing infectious melodies + witty lyrics— all laced with shimmering synths and reverberating beats that is quickly becoming her signature sound. As a multi-platinum songwriter with a limitless love for performance, her live show is just as vibrant as her neon green hair. Bank$ is truly a creative force to be reckoned with. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors",R & B,Pop,"Queens, NY","Mar 16, 2019",12:05am-12:20am,Palm Door on Sixth Patio,False
1014,Light Vibes,"The Swedish indie pop duo Light Vibes made their debut in spring 2018 with the Following EP to acclaim from The Line of Best Fit, The 405, Ja Ja Ja and more – but that release was a first taste of a project over five years in the works. The duo of Erik Klinga and Mathias Zachrisson had slowly been creating a world of their own in the downtime between touring and recording with the acclaimed Swedish indie pop act Simian Ghost, before finally setting out on their own.
Their debut album Past/Present is the culmination of that work, a dreamy and ambitious record floating between psychedelia and indie pop, offering up a shimmering soundscape that draws both toward the Nordic winters and tropical summers. Past/Present is due on January 25, 2019 via Fading Trails Recordings on limited edition vinyl and digitally.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, Publishing, Sync/Music Supervisors",Pop,Indie Pop,"Stockholm, SWEDEN","Mar 16, 2019",10:00pm-10:40pm,The Iron Bear,False
1015,Liily,"Liily are five Los Angeles teenagers hailing from deep in the San Fernando Valley to the edges of the Inland Empire. Emerging from a new and burgeoning culture of youths in the city, their wildly frenetic shows point to a new vision for alternative and hard rock music in 2018.
Liily’s local shows reflect that crazed manic intensity. Their fans have turned up to dance and absolutely tear the place apart alongside the band. Having started out playing mostly house parties and warehouses, it’s only recently that the band has started entering into nightclubs to bring that same energy.
“We like our music to make people crazy,” says guitar player Sam De La Torre. “It has a lot of energy. We want to make people move. When we write something, we want it to hit really hard. If we knock people out, we’ve done our job.”
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Alternative,"Los Angeles, CA","Mar 13, 2019",2:00pm-2:40pm,Banger's,False
1019,Lil Jairmy,"Lil Jairmy is an up and coming artist from Houston TX who made his name in the streets of East Harris County. Lil Jairmy current single “Chances Make Champions” ft Lil Baby is one of the biggest records in Houston today! His current Project “Excuse My Absence” is said to be the one project that will take him to the next Level!! 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Hip-Hop / Rap,"Houston, TX","Mar 12, 2019",11:00pm-11:15pm,Palm Door on Sixth,False
1026,LIL YODAA,"
Curtis Moore, a.k.a. Lil Yodaa, is an emerging hip-hop artist whose sound is uniquely inspired by Southern Rap Tunes. 
Yodaa was born and raised on the Northwest side of San Antonio, Texas. He began to write at a young age but it wasn’t until after his grandfather passed away in 2007 he began to seriously consider a future in music. While pulling inspiration from the heartbeat of urban communities, Yodaa also draws his vision from Family. Insfluenced by life and the music of Lil Boosie, his lyrics aim to capture the realities of the present while projecting his fantasies of the future in a way that transcends time and space. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Hip-Hop / Rap,"San Antonio, TX","Mar 16, 2019",10:45pm-11:00pm,ScratcHouse Backyard,False
1030,Linying,"A contemporary pop singer and songwriter with a flair for heartfelt lyrics and inventive production, Linying represents both the tenacity and vulnerability of her own starry-eyed generation in songs about coming of age and coming to terms.
Upon receiving a chance email from a pair of European house music DJs requesting her vocals to be featured on a track, Linying began writing and singing on toplines for electronic artists. One Spinnin' Records signing and a few months later, she was performing alongside some of EDM's biggest rising stars like Felix Jaehn and Lost Frequencies, climbing the HypeMachine charts with each release, joining forces on a Europe-wide tour and boasting songs that have since racked up over 50 million plays. 
Linying's debut EP, Paris 12, premiered on DIY and cinched the #1 spot on iTunes Singapore the day of its release as she embarked on a tour spanning Asia, Australia, Europe and America, sharing festival stages with acts like Radiohead and The 1975 – establishing her as one of the brightest and most exciting acts coming out of Asia.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Gear Endorsement, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, Sync/Music Supervisors",Electronic,Indie Pop,"Singapore, SINGAPORE","Mar 13, 2019",10:00pm-10:40pm,The Townsend,False
1031,Lion Heights,"Lion Heights met while studying music at Columbia College in Chicago; playing in various bands together before deciding to start their own outfit. The group is influenced by the roots music out of Jamaica in the 60s & 70s. Combining  aspects of soul and R&B helps them introduce reggae music to new audiences. This versatility has created opportunities for them to work as a backing band for legendary artists such as I-Wayne, Lady G, Sister Nancy & Dawn Penn. They've also provided support for acts such as Kabaka Pyramid, Jesse Royal, New Kingston, & Lee ""Scratch"" Perry. Lion Heights moved to Austin, TX in 2014 and has since been a reoccurring act at venues all over Texas. They have independently released one EP (Survival Of The Richest) and released their first official single ""Good One"" which was distributed worldwide through label Rebel Sound. ""Good One"" has since been featured on radio shows all over the U.S. as well as Jamaica and the UK.  n 2017, the group released their first full-length record, Same Situation, which has been well-received locally and internationally. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Gear Endorsement, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, PR/Publicity Agency, Publishing, Sync/Music Supervisors",Reggae,Rock,"Austin, TX","Mar 12, 2019",10:00pm-10:40pm,Flamingo Cantina,False
1033,Living Hour,"Living Hour creates a weightless atmosphere with a musically imaginative energy. The band’s new material is a beautiful and mellow amalgamation of guitar-centered dream pop and powerful, emotive lead vocals.Sam Sarty’s vocals are at the forefront as she explores vulnerable material and looks inward, grappling with themes of self determination, independence, and isolation. Sarty’s captivating performance combines confidence and vulnerability. With three voices, guitar, trombone, brushed percussion, and boundless effects, Living Hour’s live show maintains the dreamy, emotional power of the band’s recordings resulting in a mesmerizing, unforgettable, cathartic, and deeply moving live music experience. Living Hour’s music commands attention, washing over the listener with lush sounds and healing energy.
(Bound to thrill fans of Beach House, Yo La Tengo, Grizzly Bear, and Japanese Breakfast.)
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Pop,Dream Pop,"Winnipeg, MB, CANADA","Mar 12, 2019",12:00am-12:40am,Cooper's BBQ,False
1034,Liza,"Liza (pronounced Lee-za) is an R&B singer/songwriter hailing from Toronto, Canada. Liza released her debut EP, February 29, in 2017 and received positive reviews from various music outlets globally. In 2018, Liza released two singles, “Here to Stay,” “Passes Me” and, most recently “Morning Glory.” Paired with strong vocals, pensive lyrics, and progressive production, Liza draws from a strong Ethiopian/R&B/Neo-Soul culture, creating a modern, yet, resonating feel, inviting listeners into her raw and authentic reality. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Gear Endorsement, Booking Agent - US, Booking Agent - UK/Europe, PR/Publicity Agency, Sync/Music Supervisors",R & B,Soul,"Toronto, ON, CANADA","Mar 15, 2019",8:00pm-8:40pm,Swan Dive,False
1036,Lizbeth Roman Y Los Duendes Invisibles,"Lizbeth Roman is a puertorrican/caribbean artist known for her musical and theatrical work. The songwriter and “teatrera” has written, directed and presented her original music and plays in and out of Puerto Rico. Lizbeth is known for her histrionic and powerful performances and her genius way of playing with the ‘story telling’. Her style mixes the slang and the poetic. ""Lizbeth Román y los duendes invisibles” is the name of her musical concept, the name ‘los duendes invisibles’ refers to the imaginary and the mystical in life and in the creative process. Her songs fusion the everyday language, ‘lo cotidiano’, with Caribbean rhythms.  In ‘los duendes invisibles’ her tropical folk style embraces the theatrical, the bohemian and the alternative in a fusion with the latin,  the blues, the trova, ‘rumba’, ‘bomba’, bossa , hip hop, and others rhythms.
Her first album“La otra ruta: Live at NewYork” was launched in 2017, it was recorded live in a 2016 New York tour with a bohemian compact version of the band.  ‘Lizbeth Román y los duendes invisibles’ had presented locally (in Puerto Rico) and in festivals in Cuba (Festival del Caribe), New York (Loisaida Fest) and Philadelphia. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, PR/Publicity Agency, Publishing, Sync/Music Supervisors",World,Fusion,"Sabana Seca, PUERTO RICO","Mar 15, 2019",11:00pm-11:40pm,Speakeasy,False
1037,Lizzie and The Makers,"With influences ranging from Kate Bush and Ann Peebles to Lynyrd Skynyrd and Pink Floyd, Lizzie Edwards has been a guest at many NYC all-star jams, sharing the stage with the likes of James Carter, Syd Straw, Ted Leo and Reeves Gabrels. On lead guitar, Greg McMullen describes his music style as ""sonic deconstruction on electric/acoustic/resophonic/lap/pedal steel/bass guitars, and other devices..."" Trying to bridge the gap between Arto Lindsay and Joe Walsh, Greg has played with Chris Whitley, Reeves Gabrels (David Bowie/The Cure), Meshell Ndegeocello, Trixie Whitley, Twilight Singers, Bonsai, Bentmen, Matt White, Speedbuggy USA, and the Glenn Branca Ensemble. 
Lizzie and the Makers has rocked up and down the East Coast, taken the West Coast by storm, and found a new musical family in Texas, after blowing the roof of their SXSW showcases in Austin. Dark and soulful lead vocals and lyrics by Lizzie and innovative arrangements by Greg combine the blues, rock and psychedelic soul of musicians like Freddie King, Sharon Jones and Led Zeppelin.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency",Rock,Roots,"New York, NY","Mar 14, 2019",1:00am-1:50am,Saxon Pub,False
1039,"Locate S,1","Having rotated between a handful of cast and characters under various titles over the years  (Jepeto Solutions, CE Schneider Topical, Christina Schneider's Genius Grant...) Schneider has settled on the pop moniker Locate S,1 for her newest album, Healing Contest.
Healing Contest stands out as the fully realized, high-fidelity collaboration pairing Schneider’s compositions with the iconic creative force behind of Montreal. Produced, engineered and mixed by Kevin Barnes, Healing Contest is the debut release from Barnes' new label, Sybaritic Peer.
On Healing Contest, Schneider is back with a futuristic palette of electronic drums, funky bass lines, and quietly hyperactive chord progressions that are sure to impress even the most learned musical millennial. Locate S,1 is the result of a seasoned songwriter cum lo-fi home-recorder delving into the world of mid-fi pop, with results that are pleasantly difficult to define; a technical tour-de-force that extrapolates high-brow jazz harmonics and prog-rock time signatures into a whole menagerie of new forms—all while still passing as pop.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Pop,Avant / Experimental,"Athens, GA","Mar 12, 2019",9:00pm-9:40pm,Cooper's BBQ,False
1040,Logan Ledger,"San Francisco native Logan Ledger was always drawn to roots music. “When I heard Hank Williams and George Jones it was like a bomb going off in my mind – I became obsessed with older styles of country music,” says Ledger. Nashville eventually exerted its pull on him. “This was a further expression of my archaeological impulse with regards to music-making—I’ve always believed that in order to create something new with purpose, one must be steeped in the past and work from within the tradition (it has more gravity that way).” He continues, “In Nashville I began writing songs in earnest—I wanted to write country music that evoked the darker, mysterious side of human nature and experience.” Renowned bassist Dennis Crouch introduced Ledger to legendary producer T Bone Burnett. Burnett immediately felt musical kinship to Ledger. He signed him to a production deal and facilitated a deal with roots label Rounder Records. Ledger says, “It has been a real privilege to work with T Bone. We share a musical vision for the twenty-first century born from the deep well of American music.” As Kyle Corneos of Saving Country Music predicts, “you’ll want to be paying attention when Logan Ledger hits.”
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership",Americana,Country,"San Francisco, CA","Mar 12, 2019",11:00pm-11:40pm,Continental Club,False
1042,LolaBunz,"LolaBunz is a hip hop lyricist born and raised in Toronto. At 28 years of age she has landed performances at Honey Jam Canada, Manifesto, Canadian Music Week, AC3 Atlanta, BET Freestyle Friday, Youth Day and Much more. LolaBunz is a voice for the unheard, and a force to be reckoned with. 2018 was be an even bigger year for LolaBunz as she released her first EP entitled ""Wild Card"".Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Other Artists to Tour With, Booking Agent - Worldwide",Hip-Hop / Rap,Hip-Hop / Rap,"Toronto, ON, CANADA","Mar 16, 2019",10:25pm-10:40pm,Palm Door on Sixth Patio,False
1044,Lola Tried,"Taking influence from the likes of Swearin' and Lemuria, Lola Tried  combines catchy power-pop hooks with noisy, garage-esque choruses. Lola Tried has toured nationally in support of their EP, Popsicle Queen, and have played with international touring acts such as Speedy Ortiz, A Giant Dog, High Waisted,  Boy Toy, and Tera Melos. Lola Tried has been touring consecutively after the release of their self titled LP.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Indie Rock,"Austin, TX","Mar 12, 2019",1:00am-1:50am,720 Club,False
1045,Lolita De Sola,"Singer- Songwriter from Caracas, Venezuela that blends pop, jazz and electronic music. Graduated from Berklee College of Music in ""Electronic Production and Sound Design"" and having a degree in Psychology, Lolita wants you to travel without moving through her different musical landscapes.  Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Latin Rock,Alternative,"Caracas, VENEZUELA","Mar 13, 2019",10:00pm-10:40pm,CU29,False
1048,The Lonesome Heroes,"Austin’s Lonesome Heroes reside at the cosmic junction of indie rock and country. Led by frontman Rich Russell’s never-ending call of the road, the group have toured extensively behind two acclaimed albums across continents on both sides of the world, while never straying too far from their “Cosmic Americana” roots.
An ethereal reverence for the troubadour spirit is evident in stand out tracks “Western Style Saloons” - an homage to small town dance halls featured on the final season of Netflix’s Bloodline - and the linking of asphalt, mind and body in “Steel” - named KCRW’s Top Tune Download of the Day. Both appear on 2015’s Can’t Stand Still, which became more of a state of being than a sophomore album for the Heroes as the number of shows across the U.S. paired with an Australian tour turned into 100+ dates. Can’t Stand Still was praised at home by the Austin Chronicle as one of 2015’s best albums, featured abroad in Rolling Stone Australia, and received airplay on radio stations throughout the U.S., Europe and Australia.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors",Americana,Alt Country,"Austin, TX","Mar 13, 2019",12:00am-12:40am,18th Over Austin,False
1051,Loony," Loony, is an up and coming Hip Hop artist ready to hit his stride. Loony began writing music at the age of 13 and in just a few short years later would take the stage for the 1st time. He took some time off from performing and entered the Army. Shortly after his military stint, Loony decided it was time to go full throttle and started to put his all into his music. The vivid, smooth flowing, babyface emcee has since rocked some of Austin's most prominent stages. Sharing the spotlight with the likes of Currency, Cam'ron and Rich Homie Quan, Loony has begun to be recognized by not only his peers but Austin writers and tastemakers. His single, ""Thru it All"" hit the airwaves at Austin's KUTX (The Breaks) and the Austin Chronicle recognized that this artist and song were something special. ""Thru it All"" was the Chronicles #10 Single of 2018 and has since been a song that has since got fans in the door with cameras flashing. Loony hit 2019 running and just had a big time performance during the ever so popular Austin Free Week at Empire Control Room and Garage ( Dirtbaglife x Heard Presents). Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Publishing",Hip-Hop / Rap,Hip-Hop / Rap,"Austin, TX","Mar 14, 2019",9:45pm-10:00pm,Doris Miller Auditorium,False
1052,Lord Meraki,"Lord Meraki is an upstart Austin Hip Hop artist whose style reflects the emotions and triumphs of the human condition. Approaching his songs with the detail and knowledge of a masterful composer, his music and lyrics are balanced to perfection, resulting in a tone that combines classic hip hop styles with a modern mood. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Hip-Hop,"Kansas City, TX","Mar 12, 2019",9:30pm-9:50pm,ScratcHouse,False
1054,Los Gaiteros de Ovejas,"For 30 years Los Gaiteros de Ovejas have performed the sound of the Gaita in the interior of the Caribbean coast of Colombia. In 2017, the second generation of the Gaiteros launched “Antología Musical”, a discography with a compilation of 30 of its songs, and a new musical work entitled Pa'Amanecé, produced by five-time Grammy winner Christian Catagno (producer of Bomba Estereo , Systema Solar). At the end of 2017 they participated in the remix Everything Now of the Canadian band Arcade Fire with Bomba Estereo and they were invited to play at the Arcade Fire concert in Bogotá. Los Gaiteros offer concerts, instrument play and building workshops, knowledge exchange talks. In 2018 they were selected for Showcase in Circulart (Medellín, Colombia) and they also were part of the Official Colombian Womex Delegation 2018 (World Music Expo. Canarias, Spain) represented by Loa Productora. The work of Los Gaiteros de Ovejas originates in the field, from the sowing of the seed as raw material for the construction of their instruments. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Distribution - US, Booking Agent - US, Publishing, Sync/Music Supervisors",World,Cumbia,"Ovejas, COLOMBIA","Mar 14, 2019",11:00pm-11:40pm,Speakeasy,False
1056,Lou Rebecca,"Austin based pop artist Lou Rebecca makes a captivating debut with her stellar self-titled EP. Born and raised in Paris, Lou’s music is delicately delivered in both English and her native French with a natural grace and unmistakable charm. Lou’s approach to songwriting and performance is riveting from start to finish and has been a huge presence in the dense local synth scene for several years. Now her unique brand of electronic pop has officially arrived, polished and teeming with personality. Lou Rebecca will enchant and delight the modern show goer with her effortless blend of french & english lyrics mixed with the hardware wizardry from Josh Mills (Missions/Silk Rodeo). Look for the self-titled debut EP on cassette & vinyl from Holodeck Records. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Electronic,Synthpop,"Paris, FRANCE","Mar 15, 2019",10:00pm-10:40pm,The Iron Bear,False
1058,Lovelorn,"LOVELORN is a Philly band featuring husband & wife Anna & Patrick Troxell formally of CREEPOID. They play self proclaimed Drugpop in the vein of Factory Records, Spacemen 3 and LCD Soundsystem. Currently in the studio with Don Devore ( of Ink & Dagger and Lilys ) working on the debut LP.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Post-Punk,"Philadelphia, PA","Mar 16, 2019",7:45pm-8:15pm,Volstead,False
1059,Love You Later,"“Love You Later is the brainchild of (20) year old and inhabitant of both LA and Nashville, Lexi Aviles. Love You Later is a dance party at a discotheque, cherry red lipstick on a Friday night, bubblegum and bellbottoms. With the release of her latest EP, How Many Nights Do You Dance With Tears in Your Eyes?, Love You Later is bound to be the soundtrack for those nights full of dancing with your best friends in your bedroom after your summer fling has broken your heart. Make sure you have a disco ball and box of tissues ready.” - Melted Magazine
Dreamy sad songs that somehow breaks hearts and mend them all at the same time. The delicate use of guitar riffs and dreamy synths might just make you feel like you're in, well, a dream. This is Love You Later.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Other Artists to Tour With, Booking Agent - US, PR/Publicity Agency, Publishing, Sync/Music Supervisors",Pop,Dream Pop,"Nashville, TN","Mar 16, 2019",9:05pm-9:35pm,Edwin's,False
1060,Loving,"LOVING
Loving is a Canadian basement-based band comprised of David Parry, and brothers Lucas and Jesse Henderson that most often plays as a five piece. The group came together several years ago as a result of their shared summers working in the capitalist ruins of British Columbia’s forests. Together they create a warm and dreamy sonic landscape kept adrift by existentially-oriented lyrics and an unspecified, all-encompassing sense of nostalgia.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Gear Endorsement, Other Artists to Tour With, Booking Agent - UK/Europe, Sync/Music Supervisors",Folk,Indie Pop,"Victoria, BC, CANADA","Mar 13, 2019",9:00pm-9:40pm,Barracuda,False
1062,Löwin,"Heavy As the Sun is Löwin’s second release but marks a rebirth in sound for the Austin based quartet.  While Royal Jelly (released in 2013) asserted the band as a member of the Austin rock scene, Heavy as the Sun emerges with a more shimmery pop aesthetic on intro tracks “Sake” and “Maybe It’s Over.” Songwriter/singer Sara Houser switches from guitar to keyboards (her primary instrument) to create a uniformly synth centered record. “I wanted the focus of this record to be more lyrically and melodically driven and for me those ideas come the most naturally when I’m playing piano,” explains Houser. 
That being said, Heavy as the Sun doesn’t lack dynamics or the bombastic post rock moments that are more present in Löwin’s earlier releases. Amidst the glitz are songs like “Hard to Love” which starts off with heavy hitter Chris DeGeorge and Nate Ribner’s signature bass fuzz but then builds into a B52s inspired banger. Guitarist Michael Sanders shines on “Sloop” and “The Wheel” with tones reminiscent of Real Estate and Johnny Greenwood alike. 
Heavy as the Sun was recorded in Austin, TX.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, PR/Publicity Agency, Publishing, Sync/Music Supervisors",Pop,Rock,"Austin, TX","Mar 15, 2019",10:00pm-10:40pm,Friends,False
